word,meaning,example
award,奖品；授予,She won an award.
aware,意识到的,Be aware of the dangers.
away,离开；远离,Go away please.
awful,糟糕的；可怕的,The weather was awful.
awkward,尴尬的；笨拙的,It was an awkward situation.
baby,婴儿；宝贝,The baby is sleeping.
back,背部；后面,Stand back please.
background,背景；经历,What's your background?
backward,向后的；落后的,Take a backward step.
bacteria,细菌,Some bacteria are harmful.
bad,坏的；糟糕的,That's a bad idea.
badly,严重地；坏地,He was badly injured.
bag,包；袋子,Carry your bag.
balance,平衡；余额,Keep your balance.
ball,球；舞会,Play ball games.
ban,禁止；禁令,Smoking is banned here.
band,乐队；带子,The band played music.
bank,银行；河岸,Deposit money in the bank.
bar,酒吧；条,Meet me at the bar.
bare,赤裸的；光秃的,The trees are bare in winter.
barely,几乎不,He barely passed the exam.
bargain,讨价还价；便宜货,It's a real bargain.
base,基础；基地,The base of the building.
basic,基本的；基础的,Learn the basic skills.
basin,盆；流域,Wash your hands in the basin.
basis,基础；根据,On a daily basis.
basket,篮子,Put the apples in the basket.
basketball,篮球,Play basketball.
bat,蝙蝠；球棒,Bats sleep upside down.
bath,洗澡；浴缸,Take a bath.
bathroom,浴室；卫生间,Where is the bathroom?
battery,电池,The battery is dead.
battle,战斗；战役,They fought a brave battle.
be,是；存在,I think, therefore I am.
beach,海滩,Let's go to the beach.
beam,梁；光束,The beam supports the roof.
bean,豆；豆子,Eat your beans.
bear,熊；忍受,Can you bear the pain?
beard,胡须,He has a long beard.
beat,打；击败,Don't beat the drum.
beautiful,美丽的,What a beautiful day!
beauty,美；美人,Beauty is in the eye of the beholder.
because,因为,Stay because you want to.
become,变成；成为,She became a doctor.
bed,床,Go to bed early.
bedroom,卧室,My bedroom is upstairs.
bee,蜜蜂,The bee is buzzing.
beef,牛肉,I like beef steak.
beer,啤酒,Have a beer.
before,在...之前,Think before you speak.
beg,乞求；请求,Don't beg for mercy.
begin,开始,Let's begin the meeting.
beginning,开始；起点,The beginning of the story.
behave,表现；举止,Behave yourself.
behavior,行为；举止,His behavior was unacceptable.
behind,在...后面,Hide behind the tree.
being,存在；生物,Human beings.
belief,信念；信仰,Strong belief.
believe,相信,Do you believe me?
bell,铃；钟,The bell rang.
belong,属于,This book belongs to me.
below,在...下面,See below for details.
belt,腰带；带子,Fasten your seat belt.
bench,长凳；工作台,Sit on the bench.
bend,弯曲；屈服,Bend your knees.
beneath,在...下方,The treasure lies beneath.
benefit,利益；好处,Exercise has many benefits.
beside,在...旁边,Sit beside me.
besides,此外；除...之外,Besides, it's too late.
best,最好的,Do your best.
bet,打赌；赌注,I bet you're right.
better,更好的,Get well better soon.
between,在...之间,Choose between A and B.
beyond,超过；在远处,Beyond my expectations.
bicycle,自行车,Ride a bicycle.
big,大的；重要的,It's a big city.
bike,自行车,He rides a bike.
bill,账单；钞票,Pay the bill.
billion,十亿,The population is over a billion.
bind,捆绑；装订,Bind the books together.
biological,生物的；生物学的,Biological research.
bird,鸟,The bird is singing.
birth,出生；诞生,Happy birthday!
birthday,生日,When is your birthday?
biscuit,饼干,Have a biscuit.
bit,一点；比特,A bit of sugar.
bite,咬；叮,Don't bite your nails.
bitter,苦的；痛苦的,Bitter medicine.
black,黑色的；黑人,Black coffee.
blade,刀片；叶片,The blade is sharp.
blame,责备；归咎于,Don't blame others.
blank,空白的；空虚的,A blank sheet of paper.
blanket,毯子,Cover with a blanket.
bleed,流血；出血,The wound bleeds.
blend,混合；融合,Blend the ingredients.
bless,祝福；保佑,God bless you.
blind,盲的；盲目的,The blind man.
block,块；街区,Walk one block.
blood,血；血液,Blood is thicker than water.
blow,吹；打击,The wind blows.
blue,蓝色的；忧郁的,The sky is blue.
board,板；董事会,On board the ship.
boat,船；小船,Row a boat.
body,身体；主体,Take care of your body.
boil,煮沸；沸腾,Boil the water.
bomb,炸弹；轰炸,The bomb exploded.
bond,纽带；债券,The bond between friends.
bone,骨头；骨骼,The dog buried the bone.
book,书；预订,Read a book.
boom,繁荣；轰鸣,The economy booms.
boot,靴子；启动,Wear your boots.
border,边界；边缘,The border between countries.
bore,使厌烦；钻孔,Don't bore me.
boring,无聊的；乏味的,The movie was boring.
born,出生的,He was born in 1990.
borrow,借；借用,Can I borrow your pen?
boss,老板；上司,My boss is strict.
both,两者都,Both are correct.
bother,打扰；麻烦,Don't bother me.
bottle,瓶子,Drink from the bottle.
bottom,底部；末尾,At the bottom of the page.
bowl,碗；钵,Eat from a bowl.
box,盒子；箱子,Open the box.
boy,男孩,The boy is playing.
brain,大脑；智力,Use your brain.
branch,树枝；分支,The branch of a tree.
brand,品牌；商标,What brand is it?
brave,勇敢的,Be brave!
bread,面包,Break bread together.
break,打破；休息,Take a break.
breakfast,早餐,Have breakfast.
breast,胸部；乳房,The bird has a red breast.
breath,呼吸；气息,Take a deep breath.
breathe,呼吸,Breathe deeply.
breed,繁殖；品种,This breed of dog.
breeze,微风,A gentle breeze.
brick,砖；砖块,The house is made of brick.
bridge,桥；桥梁,Cross the bridge.
brief,简短的；摘要,Keep it brief.
bright,明亮的；聪明的,The sun is bright.
brilliant,灿烂的；杰出的,A brilliant idea.
bring,带来；引起,Bring me the book.
broad,宽阔的；广泛的,A broad street.
broadcast,广播；播放,The news broadcast.
brother,兄弟,My brother is older.
brown,棕色的；褐色,Brown hair.
brush,刷子；刷,Brush your teeth.
bubble,气泡；泡沫,Soap bubbles.
bucket,桶；水桶,A bucket of water.
budget,预算,Plan your budget.
build,建造；建立,Build a house.
building,建筑物；大楼,A tall building.
bulb,灯泡；球茎,Turn on the light bulb.
bulk,大量；体积,The bulk of the work.
bullet,子弹,The bullet hit the target.
bunch,束；串,A bunch of flowers.
burden,负担；重担,Don't burden yourself.
burn,燃烧；烧伤,The fire burns.
burst,爆发；破裂,The balloon burst.
bury,埋葬；隐藏,Bury the treasure.
bus,公共汽车,Take the bus.
bush,灌木；灌木丛,Hide in the bush.
business,商业；生意,On business.
busy,忙碌的；繁忙的,I'm busy now.
but,但是；可是,I tried, but failed.
butter,黄油；奶油,Spread butter on bread.
button,按钮；纽扣,Press the button.
buy,买；购买,I want to buy this.
by,通过；被,By the way.
bye,再见,Say bye.
cabin,小屋；机舱,The cabin is cozy.
cabinet,橱柜；内阁,The kitchen cabinet.
cable,电缆；缆绳,The cable is broken.
cafe,咖啡馆,Meet me at the cafe.
cage,笼子,The bird is in the cage.
cake,蛋糕,Happy birthday cake.
calculate,计算；估计,Calculate the cost.
calendar,日历,Check the calendar.
call,呼叫；打电话,Call me later.
calm,平静的；镇静,Stay calm.
camera,照相机,Take a photo with the camera.
camp,营地；露营,Go camping.
campaign,运动；战役,The election campaign.
campus,校园,On the campus.
can,能；可以,Can you help me?
canal,运河；沟渠,The Panama Canal.
cancel,取消；废除,Cancel the meeting.
cancer,癌症,He has cancer.
candidate,候选人,He is a candidate.
candle,蜡烛,Light the candle.
candy,糖果,Give me some candy.
cap,帽子；盖子,Wear a cap.
capable,有能力的,He is capable of anything.
capital,首都；资本,Beijing is the capital.
captain,队长；船长,The captain of the team.
capture,捕获；俘获,Capture the moment.
car,汽车,Drive a car.
carbon,碳,Carbon dioxide.
card,卡片；纸牌,Show me your card.
care,关心；照料,Take care.
career,职业；事业,Choose your career.
careful,小心的；仔细的,Be careful!
carpet,地毯,Walk on the carpet.
carrot,胡萝卜,Eat carrots.
carry,携带；运送,Carry the bag.
cart,手推车；马车,Push the cart.
case,情况；箱子,In this case.
cash,现金,Pay in cash.
cast,投掷；演员表,Cast a stone.
castle,城堡,Visit the castle.
cat,猫,The cat is sleeping.
catch,抓住；赶上,Catch the ball.
category,类别；种类,Which category?
cattle,牛；家畜,The cattle are grazing.
cause,原因；引起,What's the cause?
cave,洞穴；山洞,Explore the cave.
ceiling,天花板,Paint the ceiling.
celebrate,庆祝,Let's celebrate!
cell,细胞；牢房,The cell divides.
cent,分；分币,One cent.
center,中心；中央,The center of the city.
central,中心的；中央的,The central park.
century,世纪；百年,The 21st century.
ceremony,仪式；典礼,The wedding ceremony.
certain,确定的；某个,I'm certain about it.
certainly,当然；必定,Certainly!
certificate,证书；执照,Get a certificate.
chain,链条；连锁,A chain of stores.
chair,椅子；主席,Sit on the chair.
chairman,主席；董事长,The chairman spoke.
chalk,粉笔,Write with chalk.
challenge,挑战；质疑,Accept the challenge.
chamber,房间；腔室,The chamber is empty.
champion,冠军；捍卫者,He is the champion.
chance,机会；可能性,Take a chance.
change,改变；变化,Change your mind.
channel,频道；渠道,Change the channel.
chapter,章；回,Read chapter one.
character,性格；角色,He has a strong character.
charge,收费；充电,How much do you charge?
chart,图表；海图,Look at the chart.
chase,追逐；追求,Chase your dreams.
chat,聊天；闲谈,Let's chat.
cheap,便宜的；廉价,It's very cheap.
cheat,欺骗；作弊,Don't cheat.
check,检查；支票,Check your work.
cheek,脸颊；脸皮,Red cheeks.
cheer,欢呼；使高兴,Cheer up!
cheese,奶酪,Like cheese?
chef,厨师；主厨,The chef is cooking.
chemical,化学的；化学品,Chemical reaction.
chemistry,化学,Study chemistry.
cheque,支票,Write a cheque.
cherry,樱桃；樱桃色,Sweet cherries.
chess,国际象棋,Play chess.
chest,胸部；箱子,Open the chest.
chicken,鸡；鸡肉,Eat chicken.
chief,主要的；首领,The chief decision.
child,孩子；儿童,Love your child.
childhood,童年；幼年,Happy childhood.
children,孩子们,Play with children.
chill,寒冷；寒战,Feel the chill.
chin,下巴,Touch your chin.
chip,芯片；碎片,Eat potato chips.
chocolate,巧克力,I love chocolate.
choice,选择；抉择,Make a choice.
choose,选择；挑选,Choose wisely.
chop,砍；排骨,Chop the wood.
church,教堂；教会,Go to church.
cigarette,香烟,Don't smoke cigarettes.
cinema,电影院,Go to the cinema.
circle,圆；圈子,Draw a circle.
circuit,电路；环形,The electric circuit.
circumstance,环境；情况,Under the circumstances.
citizen,公民；市民,Be a good citizen.
city,城市；都市,A big city.
civil,公民的；民用的,Civil rights.
claim,声称；索赔,Claim your prize.
clap,拍手；鼓掌,Clap your hands.
clarify,澄清；阐明,Clarify the issue.
class,班级；阶级,In class.
classic,经典的；古典,A classic novel.
classroom,教室,The classroom is clean.
claw,爪；钳子,The cat's claw.
clay,黏土；泥土,Sculpt with clay.
clean,干净的；打扫,Keep it clean.
clear,清楚的；清除,Is it clear?
clerk,职员；店员,Ask the clerk.
clever,聪明的；机灵的,You're so clever.
click,点击；咔哒声,Click the button.
client,客户；委托人,Meet the client.
cliff,悬崖；峭壁,The cliff is high.
climate,气候；风气,The climate is warm.
climb,爬；攀登,Climb the mountain.
clock,时钟,What time is it by the clock?
close,关闭；亲近,Close the door.
cloth,布；织物,A piece of cloth.
clothe,给...穿衣,Clothe the children.
clothes,衣服,Put on your clothes.
clothing,服装；衣物,Winter clothing.
cloud,云；云状物,The cloud is dark.
club,俱乐部；棍棒,Join a club.
clue,线索；提示,Find a clue.
coach,教练；长途汽车,The football coach.
coal,煤；煤炭,Burn coal.
coast,海岸；沿海地区,On the coast.
coat,外套；涂层,Wear a coat.
code,代码；密码,Enter the code.
coffee,咖啡,Drink coffee.
coin,硬币；铸造,A gold coin.
cold,冷的；感冒,It's cold today.
collar,衣领；项圈,The dog's collar.
colleague,同事,Work with colleagues.
collect,收集；采集,Collect stamps.
collection,收藏品；收集,A stamp collection.
college,学院；大学,Go to college.
color,颜色；色彩,What color?
column,柱子；专栏,A newspaper column.
comb,梳子；梳,Comb your hair.
combine,结合；联合,Combine the ingredients.
come,来；到来,Come here.
comfort,舒适；安慰,Find comfort.
comfortable,舒适的,Make yourself comfortable.
command,命令；指挥,Give a command.
comment,评论；注释,Leave a comment.
commerce,商业；贸易,International commerce.
commercial,商业的；广告,A commercial break.
commit,犯罪；承诺,Commit a crime.
committee,委员会,The committee meets.
common,共同的；普通的,It's common knowledge.
communicate,交流；沟通,Communicate with others.
communication,交流；通信,Good communication.
communism,共产主义,Study communism.
communist,共产主义者；共产党的,A communist party.
community,社区；团体,The local community.
companion,同伴；伴侣,A faithful companion.
company,公司；陪伴,Work for a company.
compare,比较；对比,Compare the two.
comparison,比较；对照,In comparison.
compete,竞争；比赛,Compete for the prize.
competition,竞争；比赛,Win the competition.
complain,抱怨；投诉,Don't complain.
complete,完成；完整的,Complete the task.
complex,复杂的；综合体,A complex problem.
complicated,复杂的,It's complicated.
component,成分；组件,The components of a machine.
compose,组成；作曲,Compose a song.
composition,作文；构成,Write a composition.
computer,电脑；计算机,Use a computer.
comrade,同志；同事,My dear comrade.
concentrate,集中；浓缩,Concentrate on your work.
concept,概念；观念,Understand the concept.
concern,关心；关系,It concerns you.
concert,音乐会；演奏会,Go to a concert.
conclude,结束；得出结论,Conclude the meeting.
conclusion,结论；结束,In conclusion.
condition,条件；状况,In good condition.
conduct,行为；引导,Good conduct.
conference,会议；讨论,Attend a conference.
confidence,信心；信任,Have confidence.
confident,自信的,Be confident.
confirm,确认；证实,Confirm the booking.
conflict,冲突；矛盾,Resolve the conflict.
confuse,使困惑；混淆,Don't confuse me.
congratulate,祝贺,Congratulate you!
connect,连接；联系,Connect the wires.
connection,连接；关系,The connection is broken.
conscious,意识到的；清醒的,Be conscious of.
consequence,结果；后果,Face the consequences.
conservative,保守的；保守派,A conservative view.
consider,考虑；认为,Consider the options.
consist,组成；在于,The team consists of.
constant,持续的；不变的,Constant effort.
construct,建造；构造,Construct a building.
construction,建设；建筑,Under construction.
consult,咨询；商议,Consult a doctor.
consume,消费；消耗,Consume less energy.
contact,联系；接触,Make contact.
contain,包含；容纳,The box contains books.
content,内容；满意的,The content of the book.
contest,竞赛；争夺,Win the contest.
continent,大陆；洲,The Asian continent.
continue,继续；持续,Continue working.
contract,合同；契约,Sign the contract.
contrary,相反的；对立,On the contrary.
contrast,对比；对照,In contrast.
contribute,贡献；捐助,Contribute to the project.
contribution,贡献；捐款,Make a contribution.
control,控制；管理,Under control.
convenience,便利；方便,For your convenience.
convenient,方便的,Is it convenient?
conversation,对话；交谈,Have a conversation.
convert,转换；转变,Convert to Christianity.
convey,传达；运输,Convey my regards.
convince,使确信；说服,Convince me.
cook,厨师；烹饪,Cook dinner.
cool,凉爽的；酷的,It's cool today.
cooperate,合作；协作,Cooperate with others.
coordinate,协调；坐标,Coordinate the activities.
cop,警察,Call the cop.
copy,复制；拷贝,Make a copy.
corn,玉米；谷物,Corn fields.
corner,角落；转角,On the corner.
corporation,公司；企业,A large corporation.
correct,正确的；纠正,The correct answer.
correspond,符合；通信,Correspond with me.
cost,成本；花费,How much does it cost?
costly,昂贵的,It's too costly.
cottage,小屋；村舍,A country cottage.
cotton,棉花；棉布,Made of cotton.
cough,咳嗽,Don't cough.
could,能；可以,I could help.
council,理事会；委员会,The city council.
count,数；计算,Count to ten.
country,国家；乡村,My country.
countryside,乡村；农村,Live in the countryside.
county,县；郡,The county government.
couple,一对；夫妇,A married couple.
courage,勇气；胆量,Have courage.
course,课程；过程,Of course.
court,法院；球场,Go to court.
cousin,堂（表）兄弟姊妹,My cousin.
cover,覆盖；封面,Cover the pot.
cow,牛；母牛,Milk the cow.
crash,碰撞；坠毁,The car crashed.
crazy,疯狂的；狂热的,Are you crazy?
cream,奶油；乳霜,Ice cream.
create,创造；创建,Create art.
creation,创造；创作,God's creation.
creature,生物；动物,A lovely creature.
credit,信用；学分,On credit.
crew,全体船员；机组人员,The ship's crew.
crime,犯罪；罪行,Commit a crime.
criminal,罪犯；犯罪的,A criminal.
critic,批评家；评论家,The film critic.
critical,批评的；关键的,A critical moment.
criticism,批评；评论,Accept criticism.
criticize,批评；评论,Don't criticize.
crop,庄稼；收成,Harvest the crop.
cross,穿过；十字架,Cross the street.
crowd,人群；拥挤,A large crowd.
crown,王冠；皇冠,The king's crown.
crucial,关键的；至关重要的,A crucial decision.
cry,哭；叫喊,Don't cry.
crystal,水晶；晶体,A crystal clear.
culture,文化；文明,Chinese culture.
cup,杯子；奖杯,Drink from a cup.
cure,治愈；疗法,Find a cure.
curious,好奇的,Be curious.
curl,卷曲；卷发,Curl your hair.
currency,货币；流通,Foreign currency.
current,当前的；水流,The current situation.
curtain,窗帘；幕布,Draw the curtain.
curve,曲线；弯曲,The curve of the road.
cushion,垫子；坐垫,Sit on the cushion.
custom,习俗；惯例,Local customs.
customer,顾客；客户,The customer is right.
cut,切；剪,Cut the paper.
cycle,循环；周期,Ride a cycle.
dad,爸爸，Hi dad!
daily,每日的；日报,Daily routine.
damage,损害；损坏,The damage is serious.
dance,跳舞；舞蹈,Let's dance.
danger,危险；威胁,In danger.
dangerous,危险的,It's dangerous.
dare,敢；挑战,I dare you.
dark,黑暗的；深色的,It's dark.
date,日期；约会,What's the date?
daughter,女儿,My daughter.
day,天；白天,Have a nice day!
dead,死的；无生命的,He is dead.
deaf,聋的,The deaf man.
deal,交易；处理,Make a deal.
dear,亲爱的；昂贵的,My dear friend.
death,死亡；毁灭,The death of a hero.
debate,辩论；争论,Have a debate.
debt,债务；欠款,Pay off the debt.
decade,十年；十年期,A decade ago.
decay,腐烂；衰退,The wood decays.
deceive,欺骗；行骗,Don't deceive me.
decide,决定；下决心,Decide now.
decision,决定；决心,Make a decision.
declare,宣布；声明,Declare war.
decline,下降；拒绝,The price declined.
decorate,装饰；装修,Decorate the room.
decrease,减少；减小,Decrease the price.
deed,行为；契约,Good deeds.
deep,深的；深厚的,The deep sea.
deer,鹿,The deer is running.
defeat,击败；失败,Defeat the enemy.
defend,保卫；辩护,Defend your country.
define,定义；规定,Define the term.
definite,明确的；一定的,A definite answer.
degree,程度；度数,A high degree.
delay,延迟；耽搁,No delay.
delete,删除；擦掉,Delete the file.
delicate,精致的；微妙的,A delicate situation.
delicious,美味的,It's delicious.
delight,高兴；使高兴,To my delight.
deliver,递送；发表,Deliver a speech.
demand,要求；需要,Meet the demand.
democracy,民主；民主制,Democracy is important.
demonstrate,示范；证明,Demonstrate the method.
dense,密集的；浓厚的,A dense forest.
deny,否认；拒绝,Don't deny it.
depart,离开；出发,Depart at noon.
department,部门；系,The sales department.
departure,离开；出发,The departure time.
depend,依赖；取决于,It depends.
deposit,存款；押金,Make a deposit.
depth,深度；深处,The depth of the ocean.
describe,描述；形容,Describe the scene.
description,描述；说明,A detailed description.
desert,沙漠；抛弃,The Sahara desert.
deserve,应得；值得,You deserve it.
design,设计；图案,Design a logo.
desire,欲望；渴望,My desire.
desk,书桌；办公桌,Sit at the desk.
despair,绝望；失望,In despair.
desperate,绝望的；不顾一切的,Desperate measures.
despite,不管；尽管,Despite the rain.
dessert,甜点；甜品,Have dessert.
destination,目的地；终点,Our destination.
destroy,破坏；毁灭,Destroy the evidence.
detail,细节；详情,In detail.
detect,察觉；发现,Detect the problem.
determine,决定；确定,Determine the cause.
develop,发展；开发,Develop a plan.
development,发展；开发,Economic development.
device,设备；装置,An electronic device.
devote,奉献；致力于,Devote to science.
diagram,图表；图解,Draw a diagram.
dial,拨号；表盘,Dial the number.
dialogue,对话；对白,Write a dialogue.
diamond,钻石；菱形,A diamond ring.
diary,日记；日记簿,Keep a diary.
dictation,听写；口述,Have a dictation.
dictionary,字典；词典,Look it up in the dictionary.
die,死；死亡,Flowers die.
diet,饮食；节食,Go on a diet.
differ,不同；有分歧,Opinions differ.
difference,差异；差别,What's the difference?
different,不同的,It's different.
difficult,困难的,It's difficult.
difficulty,困难；困境,In difficulty.
dig,挖；掘,Dig a hole.
digest,消化；摘要,Digest the food.
digital,数字的；数码的,Digital camera.
dignity,尊严；高贵,Human dignity.
diligent,勤奋的；用功的,A diligent student.
dim,昏暗的；模糊的,The light is dim.
dine,进餐；宴请,Dine out.
dinner,晚餐；宴会,Have dinner.
direct,直接的；指导,Direct the way.
direction,方向；指导,In the right direction.
director,主任；导演,The film director.
dirt,污垢；泥土,Wash off the dirt.
dirty,脏的；弄脏,Dirty clothes.
disable,使残疾；使失去能力,Disable the alarm.
disagree,不同意；不一致,I disagree.
disappear,消失；不见,The sun disappeared.
disappoint,使失望,Don't disappoint me.
disaster,灾难；灾祸,Natural disaster.
discipline,纪律；学科,School discipline.
discount,折扣；打折,Get a discount.
discover,发现；发觉,Discover new things.
discovery,发现；被发现的事物,An important discovery.
discuss,讨论；商议,Discuss the plan.
discussion,讨论；商讨,Have a discussion.
disease,疾病；弊病,Prevent disease.
dish,盘子；菜肴,Wash the dishes.
disk,磁盘；圆盘,Save to disk.
dislike,不喜欢；厌恶,Dislike someone.
dismiss,解散；解雇,Dismiss the class.
display,显示；陈列,Display the goods.
distance,距离；远处,From a distance.
distant,遥远的；疏远的,A distant relative.
distinct,明显的；独特的,A distinct smell.
distinguish,区分；辨别,Distinguish right from wrong.
distribute,分配；分发,Distribute the books.
district,区域；行政区,The business district.
disturb,打扰；扰乱,Don't disturb.
dive,潜水；跳水,Dive into the pool.
divide,分开；除,Divide the cake.
division,分开；部门,The sales division.
do,做；干,Do your best.
doctor,医生；博士,See a doctor.
document,文件；文档,Sign the document.
dog,狗,Walk the dog.
dollar,美元,Earn dollars.
domestic,国内的；家庭的,Domestic affairs.
dominate,支配；控制,Dominate the market.
donate,捐赠；捐献,Donate money.
