word,meaning,example
hold out,"伸出；延伸；坚持","They held out for better conditions."
hold up,"伸出；延迟；抢劫","The robbery held up traffic."
keep in touch,保持联系,"Let's keep in touch after graduation."
keep pace with,赶上,"It's hard to keep pace with technology."
keep on doing,继续；反复做,"He kept on asking questions."
keep up with,赶上,"I can't keep up with the class."
keep an eye on,留意；照看,"Can you keep an eye on my bag?"
keep in mind,记住,"Keep in mind that time is limited."
keep one's word,守信用,"He always keeps his word."
knock down,"捣毁；推倒","The building was knocked down."
knock out,"击倒；击败","The boxer knocked out his opponent."
knock at,敲（门）,"Someone is knocking at the door."
leave alone,"让独自呆着；不打扰","Leave me alone, I need to think."
leave behind,"忘了带；遗留","Don't leave your belongings behind."
leave off,停止；中断,"Let's leave off here for today."
leave out,遗漏；省略,"You left out an important detail."
live on,靠…生活,"They live on a small pension."
live through,度过；经受住,"She lived through the war."
live up to,不辜负,"He tried to live up to his parents' expectations."
look after,照料；注意；关心,"Can you look after my cat?"
look back on,回头看；回顾,"Looking back on it, I was wrong."
look down upon/on,看不起；轻视,"Don't look down upon others."
look forward to,盼望；期待,"I look forward to hearing from you."
look up,"查找（字典）；改善","Look up the word in the dictionary."
look into,调查；观察,"The police are looking into the matter."
look out,注意；提防,"Look out! There's a car coming."
look over,"把…看一遍；察看","Let me look over your report."
look through,"浏览；彻底检查","I looked through the documents."
make out,"写出；辨认出","I can't make out what this says."
make up,"构成；捏造；化妆","The story is completely made up."
make up for,补偿；弥补,"He worked hard to make up for lost time."
make off,离开；逃跑,"The thief made off with the money."
make a/the difference,有影响；起作用,"Your support makes a difference."
make fun of,取笑；嘲弄,"Don't make fun of others."
make sense,"讲道理；言之有理","That doesn't make sense to me."
make sure,查明；务必,"Make sure you lock the door."
make the best of,充分利用,"Let's make the best of this situation."
make the most of,充分利用,"Make the most of your opportunity."
make up one's mind,下决心；打定主意,"She made up her mind to study abroad."
make use of,使用；利用,"We should make use of available resources."
pass on,传递；传达,"Please pass on this message."
pass by,经过,"I pass by this shop every day."
pay back,"偿还；回报；报复","I'll pay you back next week."
pay off,"还清；取得好结果","His hard work paid off."
pay for,"付款；偿还","I'll pay for dinner."
pay in cash,用现金支付,"Do you accept payment in cash?"
pick out,辨认出；挑选,"She picked out a nice dress."
put aside,储存；保留,"Put aside some money for emergencies."
put away,放好；收好,"Put away your toys."
put down,"记下；镇压","Put down your thoughts in a journal."
put forward,提出（建议）,"He put forward a new proposal."
put in,"花费；付出；申请","She put in a lot of effort."
put on,"穿上；上演；增加","Put on your coat, it's cold."
put out,熄灭,"Firefighters put out the blaze."
put up,"建造；粘贴；举起","They put up a new building."
put up with,忍受；容忍,"I can't put up with this noise."
put off,推迟,"Don't put off until tomorrow."
refer to,提到；参考,"The book refers to ancient history."
refer to...as,把…称作,"We refer to him as the boss."
run into,遇到；偶然碰见,"I ran into an old friend."
run out of,耗尽,"We ran out of milk."
run over,"压过去；溢出","The car ran over a dog."
see about,办理；安排,"I'll see about getting tickets."
see through,看穿；识破,"I saw through his lies."
see (sb) off,送别某人,"We went to see her off at the airport."
set aside,"留出；不理会","Set aside some time for exercise."
set down,"写下；记下","Set down your ideas."
set off,出发,"We set off early in the morning."
set out,"动身；开始；阐明","They set out on a journey."
set up,"建立；建造；开业","He set up his own business."
set about,开始；着手,"Let's set about solving this problem."
show off,炫耀；卖弄,"He likes to show off his wealth."
show up,来到；露面,"She didn't show up to the meeting."
stand by,"旁观；支持；遵守","I'll stand by you no matter what."
stand for,"是…的缩写；代表","What does USA stand for?"
stand out,引人注目,"Her talent stands out."
stand up,（论点）站得住脚,"His argument doesn't stand up."
take after,与…相像,"She takes after her mother."
take apart,拆卸；拆开,"He took apart the engine."
take effect,生效,"The medicine will take effect soon."
take sth for granted,想当然；不以为然,"Don't take anything for granted."
take in,"欺骗；领会；吸收","I was taken in by his story."
take off,"飞起；脱衣服；成功","The plane took off on time."
take on,"承担；呈现；雇用","Don't take on too much work."
take over,接管；借用,"She took over the company."
take to,喜欢；从事,"He took to swimming immediately."
take up,"开始从事；占据","Golf takes up all his weekends."
take into account,把…考虑进去,"Take all factors into account."
take into consideration,把…考虑进去,"We'll take your suggestion into consideration."
turn down,"拒绝；调低","He turned down the job offer."
turn in,"上床；交上","I usually turn in at 11 PM."
turn off,"关掉；拐弯","Turn off the lights when you leave."
turn on,打开,"Turn on the TV."
turn out,"结果是；证明是","It turned out to be a great day."
turn over,翻身；移交,"Turn over the page."
turn to,寻求帮助,"You can turn to me for help."
turn up,"出现；到来；调高","He finally turned up at the party."
switch on,打开,"Switch on the light."
switch off,关掉,"Switch off your phone."
catch one's breath,"喘气；松口气；屏息","Let me catch my breath."
catch one's eye,吸引注目,"The painting caught my eye."
catch sight of,看到；发现,"I caught sight of a deer."
catch up with,赶上,"I need to catch up with my work."
lose heart,失去勇气；丧失信心,"Don't lose heart, keep trying."
lose one's temper,发脾气；发怒,"He lost his temper easily."
lose sight of,忘记；看不见,"Don't lose sight of your goals."
have an advantage over,胜过；优于,"Our team has an advantage over theirs."
have in mind,"想到；记得；打算","What do you have in mind?"
have little to do with,和...毫无关系,"This has little to do with me."
have much to do with,和...有很大关系,"Success has much to do with hard work."
have nothing to do with,和...毫无关系,"I have nothing to do with that."
had better do,最好,"You had better finish your homework."
as for,至于；关于,"As for me, I prefer tea."
as regards,关于；至于,"As regards your question, I'll answer later."
in regard to,关于；至于,"In regard to your request, we'll consider it."
with regard to,关于；至于,"With regard to this matter, we need more time."
in case,万一,"Take an umbrella in case it rains."
in no case,决不,"In no case should you give up."
in case of,万一...,"In case of fire, use the exit."
in charge of,负责；主管,"She is in charge of the project."
in detail,详细,"Let me explain in detail."
in difficulty,处境困难,"The company is in difficulty."
in honor of,为纪念；为庆祝,"This event is in honor of the hero."
in no way,决不,"In no way is this acceptable."
in place of,取代,"Use oil in place of butter."
in proportion to,与...成比例,"Salary is in proportion to experience."
in the face of,"即使；在...面前","Stay calm in the face of danger."
in vain,徒劳,"All our efforts were in vain."
in spite of,尽管,"We went out in spite of the rain."
in particular,特别；尤其,"I like fruits, in particular apples."
in advance,提前,"Please book in advance."
in addition to,除...以外,"In addition to English, she speaks French."
in general,一般地说,"In general, I agree with you."
in person,亲自,"You need to apply in person."
in private,私底下,"Let's talk in private."
in public,在公共场所,"Don't shout in public."
in turn,"轮流；反过来","Each student spoke in turn."
in return (for),回报,"What did you get in return?"
in terms of,"在...方面；就...而言","In terms of quality, this is the best."
in favor of,支持；赞成,"I'm in favor of the proposal."
progress in,进步,"She made progress in math."
confidence in,对...有信心,"I have confidence in you."
abundant in,富于,"The region is abundant in resources."
rich in,富于,"This food is rich in vitamins."
result in,导致；带来；引起,"Hard work results in success."
bear in mind,记住,"Bear in mind that time is limited."
in the lab,在实验室里,"We conducted experiments in the lab."
in that,因为,"This case is different in that it involves a child."
at all costs,不惜代价,"We must win at all costs."
at the cost of,以...为代价,"He succeeded at the cost of his health."
by accident,偶然,"I met her by accident."
by chance,偶然,"We met by chance at the station."
by all means,尽一切办法,"Try by all means to succeed."
by no means,绝不,"This is by no means easy."
by means of,依靠,"They escaped by means of a rope."
thanks to,"由于；多亏","Thanks to your help, we succeeded."
owing to,由于,"The game was cancelled owing to rain."
in light of,鉴于；由于,"In light of recent events, we need to be careful."
due to,因为,"The delay was due to traffic."
considering that,考虑到；因为,"Considering that he's new, he did well."
under no circumstances,决不,"Under no circumstances should you open this."
under control,在控制之中,"The situation is under control."
under way,在进行中,"The project is under way."
under discussion,在讨论中,"The proposal is under discussion."
under construction,在建设中,"The building is under construction."
under pressure,在压力下,"She works well under pressure."
on behalf of,代表,"I'm speaking on behalf of the team."
on second thoughts,经重新考虑,"On second thoughts, I'll stay."
on the spot,"在场；马上","He was hired on the spot."
on average,平均,"On average, it rains 10 days a month."
on a large scale,大规模,"They produce on a large scale."
on purpose,故意,"Did you do that on purpose?"
on the contrary,相反,"On the contrary, I agree with you."
on the basis of,根据,"We made the decision on the basis of facts."
on condition that,如果,"I'll go on condition that you come too."
on guard,"提防；值班","Soldiers were on guard."
comment on,评论,"He refused to comment on the matter."
concentrate on,专心于,"Concentrate on your work."
stress on,强调,"The teacher stressed on the importance of homework."
research on/into,研究；调查,"They're doing research on cancer."
keen on,喜欢,"She's keen on photography."
wait on,服侍；伺候,"She waits on customers."
instead of,而不是,"Let's walk instead of driving."
fond of,喜欢,"I'm fond of classical music."
ashamed of,羞愧的,"He was ashamed of his behavior."
capable of,能够,"She's capable of doing the job."
characteristic of,特有的,"It's characteristic of him to be late."
typical of,特有的,"This is typical of the region."
critical of,挑剔的；批评的,"He's always critical of others."
guilty of,有罪的,"He was found guilty of theft."
ignorant of,不知道,"I was ignorant of the facts."
innocent of,无辜的,"She's innocent of the crime."
independent of,不受...支配；依靠,"She's independent of her parents."
jealous of,嫉妒的,"Don't be jealous of others."
short of,缺少的,"We're short of time."
suspicious of,怀疑的,"I'm suspicious of his motives."
regardless of,不管；不顾,"We'll go regardless of the weather."
to the point,切题；要紧,"Your comments are right to the point."
stick to,"粘在...上；坚持","Stick to the plan."
add up to,合计达,"The bills add up to $100."
approximate to,接近,"This approximates to the truth."
comparable to,与...可比,"Nothing is comparable to this."
close to,接近,"We're close to finishing."
contrary to,与...相反,"Contrary to expectations, he passed."
opposite to,"与...相反；在对面","The result was opposite to what we expected."
equal to,"相当于；胜任","She's equal to the task."
necessary to/for,对于...必要,"Sleep is necessary for health."
vital to,对于...必要,"Water is vital to life."
fatal to,致命,"The mistake was fatal to his career."
prior to,在...之前,"Prior to this, he worked in London."
indifferent to,冷漠的,"He's indifferent to criticism."
hostile to,敌意的,"They're hostile to the idea."
sensitive to,敏感的,"She's sensitive to criticism."
similar to,相似于,"This is similar to what happened before."
access to,"接入；通道","Students have access to the library."
admission to,进入,"Admission to the museum is free."
approach to,"办法；通道","What's your approach to this problem?"
solution to,解决办法,"We need a solution to this problem."
appeal to sb for,呼吁；恳求,"They appealed to the public for help."
appeal to,吸引,"The idea appeals to me."
apology to sb for,道歉,"He made an apology to her for being late."
contribution to,贡献,"He made a contribution to charity."
devotion to,献身于,"Her devotion to work is admirable."
damage to,对...损坏,"The storm caused damage to the roof."
danger to,危害到,"Pollution is a danger to health."
hazard to,危害到,"Smoking is a hazard to health."
entrance to,的入口,"The entrance to the building is on the left."
exposure to,"受到...影响；暴露于","Exposure to sun can damage skin."
introduction to,"介绍；入门","This is an introduction to physics."
rather than,而不是,"I prefer tea rather than coffee."
other than,"非；除了","Everyone other than John came."
no sooner than,一...就,"No sooner had I arrived than it started raining."
nothing but,只有,"It's nothing but a lie."
anything but,决不,"He's anything but happy."
after all,毕竟,"After all, he's just a child."
above all,首先；尤其,"Above all, be honest."
effect on,影响,"The medicine had an effect on him."
influence on,影响,"Parents have a great influence on children."
impact on,影响,"The news had a big impact on the market."
in control,在控制之中,"She's in control of the situation."
out of control,失去控制,"The fire got out of control."
in touch,有联系,"Let's stay in touch."
out of touch,失去联系,"I'm out of touch with old friends."
in order,整齐；有秩序,"Everything is in order."
out of order,出故障；无序,"The elevator is out of order."
in place,在适当位置,"Everything is in place."
out of place,不合适的；格格不入,"His comment was out of place."
in sight,看得见,"The end is in sight."
out of sight,看不见,"Keep the medicine out of sight."
in stock,有货的,"Do you have this in stock?"
out of stock,缺货的,"This item is out of stock."
be about to do,将要；即将,"I was about to leave."
be equipped with,装有；具有,"The car is equipped with GPS."
be supposed to do,应该,"You're supposed to finish this today."
be grateful to sb for sth,为...感激,"I'm grateful to you for your help."
be involved in,参与；卷入,"He was involved in the accident."
be engaged in,忙于；从事于,"She's engaged in research."
be interested in,对...感兴趣,"I'm interested in art."
be prepared for sth,做...准备,"Be prepared for the worst."
sum up,总结；概括,"Let me sum up the main points."
use up,用光,"We used up all the milk."
warm up,"（使）加热；激活","Let's warm up before exercise."
cheer up,"（使）高兴；振作起来","Cheer up! Things will get better."
mix up,"搅混；混淆","Don't mix up the papers."
hurry up,赶紧；匆匆完成,"Hurry up or we'll be late."
build up,逐步建立；增强,"Build up your confidence."
spring up,涌现,"New businesses are springing up."
new lifestyle,新的生活方式,"They adopted a new lifestyle."
learn by heart,记住；背诵,"Learn this poem by heart."
leave alone,"不打扰；不干预","Leave the matter alone."
or else,否则,"Hurry up, or else we'll be late."
feel like doing,想要,"I feel like eating pizza."
can't help doing,禁不住；忍不住,"I can't help laughing."
watch out (for),密切注意；提防,"Watch out for cars!"
slow down,放慢；减退,"Slow down, you're driving too fast."
let down,"放下；降低；使失望","Don't let me down."
throw away,"扔掉；抛弃；浪费","Don't throw away old newspapers."
emphasis on,强调,"Place emphasis on quality."
work out,"算出；想出；解决","Can you work out this problem?"
wear out,"穿破；磨损；用坏","My shoes are worn out."
fall behind,落后,"Don't fall behind the class."
die down,"变弱；逐渐消失","The noise died down."
die out,消失灭绝,"Many species are dying out."
draw up,"起草；制定","Let's draw up a plan."
fill in (out),填写,"Please fill in this form."
be superior to,优于,"This product is superior to others."
be inferior to,低于,"This material is inferior to that one."
be junior to,年少于,"He is junior to me."
be senior to,年长于,"She is senior to me by two years."
familiar to,为…熟悉,"This song is familiar to me."
familiar with,熟悉,"I'm familiar with this software."
think over,仔细考虑,"Think it over before deciding."
try on,试穿,"Can I try on this jacket?"
